fileName,title,description,ms.service,realPath,fileLocation,URL
cdn-how-to-create-download-cdn-endpoint, How to create Download acceleration type CDN - Azure feature guide, Learn How to create Download acceleration type CDN on Azure Management Portal and default caching rules for Download CDN, cdn,az-docs-pr.zh-cn\cdn\cdn-how-to-create-download-cdn-endpoint.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-how-to-create-download-cdn-endpoint.md,https://docs.azure.cn/zh-cn/cdn/cdn-how-to-create-download-cdn-endpoint/
cdn-how-to-create-livestreaming-cdn-endpoint, How to create Live Streaming acceleration type CDN - Azure feature guide, Learn How to create Live Streaming acceleration type CDN on Azure Management Portal and default caching rules for Live Streaming CDN, cdn,az-docs-pr.zh-cn\cdn\cdn-how-to-create-livestreaming-cdn-endpoint.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-how-to-create-livestreaming-cdn-endpoint.md,https://docs.azure.cn/zh-cn/cdn/cdn-how-to-create-livestreaming-cdn-endpoint/
cdn-how-to-create-vod-cdn-endpoint, How to create VOD acceleration type CDN - Azure feature guide, Learn How to create VOD acceleration type CDN on Azure Management Portal and default caching rules for VOD CDN, cdn,az-docs-pr.zh-cn\cdn\cdn-how-to-create-vod-cdn-endpoint.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-how-to-create-vod-cdn-endpoint.md,https://docs.azure.cn/zh-cn/cdn/cdn-how-to-create-vod-cdn-endpoint/
cdn-how-to-create-web-cdn-endpoint, How to create Web acceleration type CDN - Azure feature guide, Learn How to create Web acceleration type CDN on Azure Management Portal and default caching rules for Web CDN, cdn,az-docs-pr.zh-cn\cdn\cdn-how-to-create-web-cdn-endpoint.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-how-to-create-web-cdn-endpoint.md,https://docs.azure.cn/zh-cn/cdn/cdn-how-to-create-web-cdn-endpoint/
cdn-how-to-use, How to use CDN - Azure feature guide, Learn how to use the Azure Content Delivery Network (CDN) to deliver high-bandwidth content by caching blobs and static content., cdn,az-docs-pr.zh-cn\cdn\cdn-how-to-use.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-how-to-use.md,https://docs.azure.cn/zh-cn/cdn/cdn-how-to-use/
cdn-https-customer-supplied-cert, Azure CDN HTTPS加速服务-客供证书, 开通客户自有证书的HTTPS加速的说明和步骤, cdn,az-docs-pr.zh-cn\cdn\cdn-https-customer-supplied-cert.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-https-customer-supplied-cert.md,https://docs.azure.cn/zh-cn/cdn/cdn-https-customer-supplied-cert/
cdn-https-how-to, How to use CDN - HTTPS, Learn how to create HTTPS CDN acceleration type., cdn,az-docs-pr.zh-cn\cdn\cdn-https-how-to.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-https-how-to.md,https://docs.azure.cn/zh-cn/cdn/cdn-https-how-to/
cdn-image-processing, Azure China CDN image processing, Learn how to use advanced features of Azure CDN management portal to manage CDN endpoint, cdn,az-docs-pr.zh-cn\cdn\cdn-image-processing.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-image-processing.md,https://docs.azure.cn/zh-cn/cdn/cdn-image-processing/
cdn-management-portal-how-to-use, How to useAzure CDN Management Portal advanced features - Azure feature guide, Learn how to use advanced features of Azure CDN management portal to manage CDN endpoint, cdn,az-docs-pr.zh-cn\cdn\cdn-management-portal-how-to-use.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-management-portal-how-to-use.md,https://docs.azure.cn/zh-cn/cdn/cdn-management-portal-how-to-use/
cdn-management-v2-portal-how-to-use, Azure CDN Management Portal new version guide, Learn how to use advanced features of Azure CDN management portal to manage CDN endpoint, cdn,az-docs-pr.zh-cn\cdn\cdn-management-v2-portal-how-to-use.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-management-v2-portal-how-to-use.md,https://docs.azure.cn/zh-cn/cdn/cdn-management-v2-portal-how-to-use/
cdn-overview, Overview of Azure CDN in China - Azure feature guide," Learn the overview of Azure CDN, advantages, typical scenarios and key features.", cdn,az-docs-pr.zh-cn\cdn\cdn-overview.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-overview.md,https://docs.azure.cn/zh-cn/cdn/cdn-overview/
cdn-pops, Azure CDN POP - Azure feature guide, Learn Azure CDN Point of Presence in China, cdn,az-docs-pr.zh-cn\cdn\cdn-pops.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-pops.md,https://docs.azure.cn/zh-cn/cdn/cdn-pops/
cdn-security, Overview of Azure CDN in China - Azure feature guide," Learn the overview of Azure CDN, advantages, typical scenarios and key features.", cdn,az-docs-pr.zh-cn\cdn\cdn-security.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\cdn\cdn-security.md,https://docs.azure.cn/zh-cn/cdn/cdn-security/
iot, Azure 开发人员中心： Azure IoT, Azure 开发人员中心： Azure IoT, iot-hub,az-docs-pr.zh-cn\develop\iot.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\iot.md,https://docs.azure.cn/zh-cn/develop/iot/
java, Azure 开发人员中心：JAVA, Azure 开发人员中心：JAVA, multiple,az-docs-pr.zh-cn\develop\java.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\java.md,https://docs.azure.cn/zh-cn/develop/java/
media-services, Azure 开发人员中心：Media Services, Azure 开发人员中心：Media Services, media-services,az-docs-pr.zh-cn\develop\media-services.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\media-services.md,https://docs.azure.cn/zh-cn/develop/media-services/
net, Azure 开发人员中心：.NET, Azure 开发人员中心：.NET, multiple,az-docs-pr.zh-cn\develop\net.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\net.md,https://docs.azure.cn/zh-cn/develop/net/
nodejs, Azure 开发人员中心：NODEJS, Azure 开发人员中心：NODEJS, multiple,az-docs-pr.zh-cn\develop\nodejs.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\nodejs.md,https://docs.azure.cn/zh-cn/develop/nodejs/
php, Azure 开发人员中心：PHP, Azure 开发人员中心：PHP, multiple,az-docs-pr.zh-cn\develop\php.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\php.md,https://docs.azure.cn/zh-cn/develop/php/
python, Azure 开发人员中心：PYTHON, Azure 开发人员中心：PYTHON, multiple,az-docs-pr.zh-cn\develop\python.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\python.md,https://docs.azure.cn/zh-cn/develop/python/
ruby, Azure 开发人员中心：RUBY, Azure 开发人员中心：RUBY, multiple,az-docs-pr.zh-cn\develop\ruby.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\ruby.md,https://docs.azure.cn/zh-cn/develop/ruby/
iot-starter-kits, Azure 开发人员中心：Azure IoT, Azure 开发人员中心：Azure IoT, iot-hub,az-docs-pr.zh-cn\develop\iot\iot-starter-kits.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\iot\iot-starter-kits.md,https://docs.azure.cn/zh-cn/develop/iot/iot-starter-kits/
app-services, 应用服务 - Azure 微软云, 应用服务 - Azure 微软云, multiple,az-docs-pr.zh-cn\develop\java\app-services.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\java\app-services.md,https://docs.azure.cn/zh-cn/develop/java/app-services/
compute, 计算 - Azure 微软云, 计算 - Azure 微软云, multiple,az-docs-pr.zh-cn\develop\java\compute.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\java\compute.md,https://docs.azure.cn/zh-cn/develop/java/compute/
data, 数据服务 - Azure 微软云, 数据服务 - Azure 微软云, multiple,az-docs-pr.zh-cn\develop\java\data.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\java\data.md,https://docs.azure.cn/zh-cn/develop/java/data/
developer-tools, 媒体服务开发人员工具 - Azure 微软云, 媒体服务开发人员工具 - Azure 微软云, multiple,az-docs-pr.zh-cn\develop\media-services\developer-tools.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\media-services\developer-tools.md,https://docs.azure.cn/zh-cn/develop/media-services/developer-tools/
resources-java, 媒体服务资源-Java - Azure 微软云, 媒体服务资源-Java - Azure 微软云, multiple,az-docs-pr.zh-cn\develop\media-services\resources-java.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\media-services\resources-java.md,https://docs.azure.cn/zh-cn/develop/media-services/resources-java/
resources-rest, 媒体服务资源 - Azure 微软云, 媒体服务资源 - Azure 微软云, multiple,az-docs-pr.zh-cn\develop\media-services\resources-rest.md,D:\GitHub\acnContent\az-docs-pr.zh-cn\develop\media-services\resources-rest.md,https://docs.azure.cn/zh-cn/develop/media-services/resources-rest/
